State Name,Informasi Umum
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Tunisia,"TunisiaTunisia is a North African country bordering the Mediterranean Sea and Sahara Desert. In the capital, Tunis, the Bardo Museum has archaeological 
exhibits from Roman mosaics to Islamic art. The city’s medina quarter encompasses the massive Al-Zaytuna Mosque and a thriving souk. To the east, 
the site of ancient Carthage features the Antonine Baths and other ruins, plus artifacts at the Carthage National Museum.
Capital: Tunis
Currency: Tunisian dinar
President: Beji Caid Essebsi
Population: 10.89 million (2013) World Bank
Official language: Arabic"
Tonga,"TongaTonga is a Polynesian kingdom of more than 170 South Pacific islands, many uninhabited, most lined in white beaches and coral reefs and covered with 
tropical rainforest. The main island, Tongatapu, is protected by lagoons and limestone cliffs. It’s home to the rural capital o f Nuku'alofa, as well as 
beach resorts, plantations and the Ha'amonga ʻa Maui, a monumental coral gate from the 1200s.Capital: Nukuʻalofa
King: Tupou VI
Population: 105,323 (2013) World Bank
Currency: Tongan paʻanga
Continent: Oceania
Official languages: English, Tongan
127Trinidad and 
TobagoTrinidad and Tobago is a dual-island Caribbean nation near Venezuela, with distinctive Creole traditions and cuisines. Trinidad’s capital, Port of Spain, 
hosts a boisterous carnival featuring calypso and soca music. Numerous bird species inhabit sanctuaries such as the Asa Wright Nature Centre. The 
smaller island of Tobago is known for its beaches and the Tobago Main Ridge Forest Reserve, which shelters hummingbirds.
Capital: Port of Spain
Currency: Trinidad and Tobago dollar
Prime minister: Keith Rowley
Population: 1.341 million (2013) World Bank
Official language: English"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
India,"KENYAKenya is a country in East Africa with coastline on the Indian Ocean. It encompasses savannah, lakelands, the dramatic Great Ri ft Valley and mountain 
highlands. It's also home to wildlife like lions, elephants and rhinos. From Nairobi, the capital, safaris visit the Maasai Mar a Reserve, known for its 
annual wildebeest migrations, and Amboseli National Park, offering views of Tanzania's 5, 895m Mt. Kilimanjaro.
Capital: Nairobi
Dialing code: +254
Currency: Kenyan shilling
President: Uhuru Kenyatta
Official languages: Swahili, English"
Iran (Islamic Republic of),"IRANIran is an Islamic republic on the Persian Gulf with historical sites dating to the Persian Empire. Extensive marble ruins mark  Persepolis, the empire’s 
capital founded by Darius I in the 6th century B.C. The modern capital, Tehran, is home to opulent Golestan Palace, seat of the  Qajar Dynasty 
(1794–1925), plus modern landmarks such as the 435m-high Milad Tower.
Capital: Tehran
Supreme leader: Ali Khamenei
President: Hassan Rouhani
Currency: Iranian rial
Population: 77.45 million (2013) World Bank"
Spain,"SPAINSpain, a country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography and cultures. Capital cit y Madrid is home to 
the Royal Palace and Prado museum, housing works by European masters. Segovia has a medieval castle (the Alcázar) and an intact  Roman aqueduct. 
Catalonia’s capital, Barcelona, is define d by Antoni Gaudí’s wh imsical modernist landmarks lik e the Sagrada Família church.
Capital: Madrid
Dialing code: +34
Currency: Euro
King: Felipe VI of Spain
Population: 46.77 million (2014) Instituto Nacional de Estadística
131REPUBLIC OF 
KOREANorth Korea, officially the Democratic People's Republic of Korea, is a country in East Asia, in the northern part of the Korea n Peninsula. Pyongyang is 
both the nation's capital as well as its largest city, with a population just over 2.5 million. 
Capital: Pyongyang
Supreme leader: Kim Jong-un
Premier: Pak Pong-ju
Population: 24.9 million (2013) World Bank
Currency: North Korean won"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
India,"KENYAKenya is a country in East Africa with coastline on the Indian Ocean. It encompasses savannah, lakelands, the dramatic Great Ri ft Valley and mountain 
highlands. It's also home to wildlife like lions, elephants and rhinos. From Nairobi, the capital, safaris visit the Maasai Mar a Reserve, known for its 
annual wildebeest migrations, and Amboseli National Park, offering views of Tanzania's 5, 895m Mt. Kilimanjaro.
Capital: Nairobi
Dialing code: +254
Currency: Kenyan shilling
President: Uhuru Kenyatta
Official languages: Swahili, English"
Iran (Islamic Republic of),"IRANIran is an Islamic republic on the Persian Gulf with historical sites dating to the Persian Empire. Extensive marble ruins mark  Persepolis, the empire’s 
capital founded by Darius I in the 6th century B.C. The modern capital, Tehran, is home to opulent Golestan Palace, seat of the  Qajar Dynasty 
(1794–1925), plus modern landmarks such as the 435m-high Milad Tower.
Capital: Tehran
Supreme leader: Ali Khamenei
President: Hassan Rouhani
Currency: Iranian rial
Population: 77.45 million (2013) World Bank"
Spain,"SPAINSpain, a country on Europe’s Iberian Peninsula, includes 17 autonomous regions with diverse geography and cultures. Capital cit y Madrid is home to 
the Royal Palace and Prado museum, housing works by European masters. Segovia has a medieval castle (the Alcázar) and an intact  Roman aqueduct. 
Catalonia’s capital, Barcelona, is define d by Antoni Gaudí’s wh imsical modernist landmarks lik e the Sagrada Família church.
Capital: Madrid
Dialing code: +34
Currency: Euro
King: Felipe VI of Spain
Population: 46.77 million (2014) Instituto Nacional de Estadística
131REPUBLIC OF 
KOREANorth Korea, officially the Democratic People's Republic of Korea, is a country in East Asia, in the northern part of the Korea n Peninsula. Pyongyang is 
both the nation's capital as well as its largest city, with a population just over 2.5 million. 
Capital: Pyongyang
Supreme leader: Kim Jong-un
Premier: Pak Pong-ju
Population: 24.9 million (2013) World Bank
Currency: North Korean won"
Canada,"CANADACanada is a North American country stretching from the U.S. in the south to the Arctic Circle in the north. Major cities includ e massive Toronto, west 
coast film centre Vancouver, French-speaking Montréal and Québec City, and capital city Ottawa. Canada's vast swaths of wilderness include lake-filled 
Banff National Park in the Rocky Mountains. It's also home to Niagara Falls, a famous group of massive waterfalls.
Currency: Canadian dollar"
Cabo Verde,"CAPE VERDECape Verde, or Cabo Verde, is a nation on a volcanic archipelago off the northwest coast of Africa. It’s known for its Creole P ortuguese-African culture, 
traditional morna music and numerous beaches. Its largest island, Santiago, is home to the current capital, Praia. Santiago is also home to the old 
capital, Cidade Velha, with clifftop fortress Forte Real de São Felipe.
Capital: Praia
Currency: Cape Verdean escudo
Population: 498,897 (2013) World Bank
Continent: Africa
President: Jorge Carlos Fonseca
Official language: Portuguese"
Burkina Faso,"BURKINA FASOBurkina Faso is a landlocked country in West Africa aro und 274,200 square kilometres in size. It is surro unded by six countries: Mali to the north; Niger 
to the east; Benin to the southeast; Togo and ... 
Capital: Ouagadougou
President: Roch Marc Christian Kaboré
Currency: West African CFA franc
Population: 16.93 million (2013) World Bank
Prime minister: Paul Kaba Thieba
Official language: French"
Mauritania,"MAURITANIAMauritania /mɔːrɪˈteɪniə/, officially the Islamic Republic of Mauritania, is a country in the Maghreb region of western North A frica. 
Capital: Nouakchott
Dialing code: +222
Currency: Mauritanian ouguiyaPopulation: 3.89 million (2013) World Bank
President: Mohamed Ould Abdel Aziz
Official language: Arabic"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Canada,"CANADACanada is a North American country stretching from the U.S. in the south to the Arctic Circle in the north. Major cities includ e massive Toronto, west 
coast film centre Vancouver, French-speaking Montréal and Québec City, and capital city Ottawa. Canada's vast swaths of wilderness include lake-filled 
Banff National Park in the Rocky Mountains. It's also home to Niagara Falls, a famous group of massive waterfalls.
Currency: Canadian dollar"
Cabo Verde,"CAPE VERDECape Verde, or Cabo Verde, is a nation on a volcanic archipelago off the northwest coast of Africa. It’s known for its Creole P ortuguese-African culture, 
traditional morna music and numerous beaches. Its largest island, Santiago, is home to the current capital, Praia. Santiago is also home to the old 
capital, Cidade Velha, with clifftop fortress Forte Real de São Felipe.
Capital: Praia
Currency: Cape Verdean escudo
Population: 498,897 (2013) World Bank
Continent: Africa
President: Jorge Carlos Fonseca
Official language: Portuguese"
Burkina Faso,"BURKINA FASOBurkina Faso is a landlocked country in West Africa aro und 274,200 square kilometres in size. It is surro unded by six countries: Mali to the north; Niger 
to the east; Benin to the southeast; Togo and ... 
Capital: Ouagadougou
President: Roch Marc Christian Kaboré
Currency: West African CFA franc
Population: 16.93 million (2013) World Bank
Prime minister: Paul Kaba Thieba
Official language: French"
Mauritania,"MAURITANIAMauritania /mɔːrɪˈteɪniə/, officially the Islamic Republic of Mauritania, is a country in the Maghreb region of western North A frica. 
Capital: Nouakchott
Dialing code: +222
Currency: Mauritanian ouguiyaPopulation: 3.89 million (2013) World Bank
President: Mohamed Ould Abdel Aziz
Official language: Arabic"
India,"MAURITIUSMauritius, an Indian Ocean island nation, is known for its beaches, lagoons and reefs. The mountainous interior includes Black River Gorges National 
Park, with rainforests, waterfalls, hiking trails and wildlife like the flying fox. Capital Port Louis has sites such as the Champs de Mars horse track, Eureka 
plantation house and 18th-century Sir Seewoosagur Ramgoolam Botanical Gardens.
Capital: Port Louis
Dialing code: +230
Currency: Mauritian rupee
Population: 1.296 million (2013) World Bank
President: Ameenah Gurib
Prime minister: Anerood Jugnauth"
Mexico,"MEXICOMexico is a country between the U.S. and Central America that's known for its Pacific and Gulf of Mexico beaches and its divers e landscape of 
mountains, deserts and jungles. Ancient ruins such as Teotihuacán and the Mayan city of Chichén Itzá are scattered throughout the country, as are 
Spanish colonial-era towns. In capital Mexico City, upscale shops, renowned museums and gourmet restaurants cater to modern lif e.
Capital: Mexico CityDialing code: +52
President: Enrique Peña Nieto
Currency: Mexican peso
Population: 122.3 million (2013) World Bank"
France,"MONACOMonaco is a tiny independent city-state on France’s Mediterranean coastline known for its upscale casinos, yacht-lined harbor a nd prestigious Grand 
Prix motor  race, which runs through Monaco’s streets once a year. Mont e-Carlo, its major district, is home to an elegant belle- époque casino complex 
and ornate Salle Garnier opera house. It also has many luxe hotels, boutiques, nightclubs and restaurants.
Dialing code: +377
Area: 202 ha
King: Albert II, Prince of Monaco
Population: 37,831 (2013) World Bank
Currency: Euro
Royal family: House of Grimaldi"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
India,"MAURITIUSMauritius, an Indian Ocean island nation, is known for its beaches, lagoons and reefs. The mountainous interior includes Black River Gorges National 
Park, with rainforests, waterfalls, hiking trails and wildlife like the flying fox. Capital Port Louis has sites such as the Champs de Mars horse track, Eureka 
plantation house and 18th-century Sir Seewoosagur Ramgoolam Botanical Gardens.
Capital: Port Louis
Dialing code: +230
Currency: Mauritian rupee
Population: 1.296 million (2013) World Bank
President: Ameenah Gurib
Prime minister: Anerood Jugnauth"
Mexico,"MEXICOMexico is a country between the U.S. and Central America that's known for its Pacific and Gulf of Mexico beaches and its divers e landscape of 
mountains, deserts and jungles. Ancient ruins such as Teotihuacán and the Mayan city of Chichén Itzá are scattered throughout the country, as are 
Spanish colonial-era towns. In capital Mexico City, upscale shops, renowned museums and gourmet restaurants cater to modern lif e.
Capital: Mexico CityDialing code: +52
President: Enrique Peña Nieto
Currency: Mexican peso
Population: 122.3 million (2013) World Bank"
France,"MONACOMonaco is a tiny independent city-state on France’s Mediterranean coastline known for its upscale casinos, yacht-lined harbor a nd prestigious Grand 
Prix motor  race, which runs through Monaco’s streets once a year. Mont e-Carlo, its major district, is home to an elegant belle- époque casino complex 
and ornate Salle Garnier opera house. It also has many luxe hotels, boutiques, nightclubs and restaurants.
Dialing code: +377
Area: 202 ha
King: Albert II, Prince of Monaco
Population: 37,831 (2013) World Bank
Currency: Euro
Royal family: House of Grimaldi"
Montenegro,"MONTENEGROMontenegro is a Balkan country with rugged mountains, medieval villages and a narrow strip of beaches along its Adriatic coastl ine. The Bay of Kotor, 
resembling a fjord, is  dotted with coastal churches and fortifie d towns such as Kotor  and Herceg Novi. Durmitor National Park, home to bears and 
wolves, encompasses limestone peaks, glacial lakes and 1,300m-deep Tara River Canyon.
Capital: Podgorica
Dialing code: +382
Currency: Euro
Population: 621,383 (2013) World Bank
Official language: Montenegrin"
Morocco,"MOROCCOMorocco, a North African country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian an d European cultural 
influences. Marrakesh’s medina, a mazelike medieval quarter, offers entertainment in its Djemaa el-Fna square and souks (marketplaces) selling 
ceramics, jewelry and metal lanterns. The capital Rabat’s Kasbah of the Udayas is a 12th-century royal fort overlooking the wat er.
Capital: RabatDialing code: +212
Currency: Moroccan dirham
King: Mohammed VI of Morocco
Official language: Arabic"
India,"MOZAMBIQUEMozambique is a southern African nation whose long Indian Ocean coastline is dotted with popular beache s like Tofo, as well as offshore marine parks. 
In the Quirimbas Archipelago, a 250km stret ch of coral islands, mangrove-covered Ibo Island has colonial-era ruins surviving fr om a period of 
Portuguese rule. The Bazar uto Arch ipelago farther south has reefs which protect rare marine life including dugongs.
Capital: Maputo
Currency: Metical
President: Filipe Nyusi
Population: 25.83 million (2013) World Bank
Official language: Portuguese"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Montenegro,"MONTENEGROMontenegro is a Balkan country with rugged mountains, medieval villages and a narrow strip of beaches along its Adriatic coastl ine. The Bay of Kotor, 
resembling a fjord, is  dotted with coastal churches and fortifie d towns such as Kotor  and Herceg Novi. Durmitor National Park, home to bears and 
wolves, encompasses limestone peaks, glacial lakes and 1,300m-deep Tara River Canyon.
Capital: Podgorica
Dialing code: +382
Currency: Euro
Population: 621,383 (2013) World Bank
Official language: Montenegrin"
Morocco,"MOROCCOMorocco, a North African country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian an d European cultural 
influences. Marrakesh’s medina, a mazelike medieval quarter, offers entertainment in its Djemaa el-Fna square and souks (marketplaces) selling 
ceramics, jewelry and metal lanterns. The capital Rabat’s Kasbah of the Udayas is a 12th-century royal fort overlooking the wat er.
Capital: RabatDialing code: +212
Currency: Moroccan dirham
King: Mohammed VI of Morocco
Official language: Arabic"
India,"MOZAMBIQUEMozambique is a southern African nation whose long Indian Ocean coastline is dotted with popular beache s like Tofo, as well as offshore marine parks. 
In the Quirimbas Archipelago, a 250km stret ch of coral islands, mangrove-covered Ibo Island has colonial-era ruins surviving fr om a period of 
Portuguese rule. The Bazar uto Arch ipelago farther south has reefs which protect rare marine life including dugongs.
Capital: Maputo
Currency: Metical
President: Filipe Nyusi
Population: 25.83 million (2013) World Bank
Official language: Portuguese"
Myanmar,"MYANMARMyanmar (formerly Burma) is a Southeast Asian nation of more than 100 e thnic groups, bordering India, Bangladesh, China, Laos and Thailand. Yangon 
(formerly Rangoon), the country's largest city, is home to bustling markets, numerous parks and lakes, and the towering, gilded  Shwedagon Pagoda, 
which contains Buddhist relics and dates to the 6th century.
Capital: Naypyidaw
Currency: Burmese kyat
President: Htin Kyaw
Population: 53.26 million (2013) World Bank
Official language: Burmese"
United States,"United StatesThe U.S. is a country of 50 states covering a vast swath of North America, with Alaska in the northwest and Hawaii extending th e nation’s presence 
into the Pacific Ocean. Major Atlantic Coast cities are New York, a global finance and culture center, and capital Washington, DC. Midwestern 
metropolis Chicago is known for influential architecture and on the west coast, Los Angeles' Hollywood is famed for filmmaking.
Capital: Washington, D.C.
Dialing code: +1
President: Barack Obama
Population: 318. 9 million  (2014)
National anthem: The Star-Spangled Banner"
Namibia,"NAMIBIANamibia, a country in southwest Africa, is distinguished by the Namib Desert along its Atlantic Ocean coast. The country is home to diverse wildlife, 
including a significant cheetah population. The capital, Windhoek, and coastal town Swakopmund contain German colonial-era buil dings such as 
Windhoek's Christuskirche, built in 1907. In the north, Etosha National Park’s salt pan draws game including rhinos and giraffe s.
Capital: Windhoek
President: Hage Geingob
Population: 2.303 million (2013) World Bank
Currencies: Namibian dollar, South African rand
Official language: English"
Nepal,"NEPALNepal, officially the Federal Democratic Republic of Nepal, is a landlocked country in South Asia with a population of 26.4 million. It is a multiethnic 
nation with Nepali as the official language. Kathmandu is the nation's capital and largest city. 
Capital: Kathmandu
Prime minister: Pushpa Kamal Dahal
Currency: Nepalese rupee
President: Bidhya Devi Bhandari
Population: 27.8 million (2013) World Bank"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
Myanmar,"MYANMARMyanmar (formerly Burma) is a Southeast Asian nation of more than 100 e thnic groups, bordering India, Bangladesh, China, Laos and Thailand. Yangon 
(formerly Rangoon), the country's largest city, is home to bustling markets, numerous parks and lakes, and the towering, gilded  Shwedagon Pagoda, 
which contains Buddhist relics and dates to the 6th century.
Capital: Naypyidaw
Currency: Burmese kyat
President: Htin Kyaw
Population: 53.26 million (2013) World Bank
Official language: Burmese"
United States,"United StatesThe U.S. is a country of 50 states covering a vast swath of North America, with Alaska in the northwest and Hawaii extending th e nation’s presence 
into the Pacific Ocean. Major Atlantic Coast cities are New York, a global finance and culture center, and capital Washington, DC. Midwestern 
metropolis Chicago is known for influential architecture and on the west coast, Los Angeles' Hollywood is famed for filmmaking.
Capital: Washington, D.C.
Dialing code: +1
President: Barack Obama
Population: 318. 9 million  (2014)
National anthem: The Star-Spangled Banner"
Namibia,"NAMIBIANamibia, a country in southwest Africa, is distinguished by the Namib Desert along its Atlantic Ocean coast. The country is home to diverse wildlife, 
including a significant cheetah population. The capital, Windhoek, and coastal town Swakopmund contain German colonial-era buil dings such as 
Windhoek's Christuskirche, built in 1907. In the north, Etosha National Park’s salt pan draws game including rhinos and giraffe s.
Capital: Windhoek
President: Hage Geingob
Population: 2.303 million (2013) World Bank
Currencies: Namibian dollar, South African rand
Official language: English"
Nepal,"NEPALNepal, officially the Federal Democratic Republic of Nepal, is a landlocked country in South Asia with a population of 26.4 million. It is a multiethnic 
nation with Nepali as the official language. Kathmandu is the nation's capital and largest city. 
Capital: Kathmandu
Prime minister: Pushpa Kamal Dahal
Currency: Nepalese rupee
President: Bidhya Devi Bhandari
Population: 27.8 million (2013) World Bank"
New Zealand,"NEW ZEALANDNew Zealand is a country in the southwestern Pacific Ocean consisting of 2 main islands, both marked by volcanoes and glaciatio n. Capital Wellington, 
on the North Island, is home to Te Papa Tongarewa, the expansive national museum. Wellington’s dramatic Mt. Victoria, along with the South Island’s 
Fiordland and Southern Lakes, stood in for mythical Middle Earth in Peter Jackson’s ""Lord of the Rings"" films.
Capital: Wellington
Dialing code: +64
Population: 4.471 million (2013) World Bank
Currency: New Zealand dollar
Colleges and Universities: University of Auckland"
Niger,"NIGERNiger, officially the Republic of Niger, is a landlocked country in Western Africa, named after the Niger River. 
Capital: Niamey
Population: 17.83 million (2013) World Bank
President: Mahamadou Issoufou
Currency: West African CFA franc
GDP per capita: 415.42 USD (2013) World Bank
Colleges and Universities: Abdou Moumouni University, Islamic University of Niger"
Guinea,"NIGERIANigeria, an African country on the Gulf of Guinea, has many natural landmarks and wildlife reserves. Protected areas such as Cr oss River National Park 
and Yankari National Park have waterfalls, dense rainforest, savanna and rare primate habitats. One of the most recognizable si tes is Zuma Rock, a 
725m-tall monolith outside the capital of Abuja that’s pictured on the national currency.
Capital: Abuja
President: Muhammadu Buhari
Population: 173.6 million (2013) World Bank
National anthem: National Anthem of Nigeria
Currency: Nigerian naira
Official language: English
Colleges and Universities"
Netherlands,"NETHERLANDThe Netherlands, a country in northwestern Europe, is known for a flat landscape of canals, tulip fields, windmills and cycling  routes. Amsterdam, the 
capital, is home to the Rijksmuseum, Van Gogh Museum and the house where Jewish diarist Anne Frank hid during WW II. Canalside mansions and a 
trove of works from artists including Rembrandt and Vermeer remain from the city's 17th-century ""Golden Age.""
Local time: Thursday 11:50 AM
Weather: 24°C, Wind E at 14 km/h, 59% Humidity"
Burundi,"BURUNDIBurundi, officially the Republic of Burundi, is a landlocked country in the African Great Lakes region of East Africa, bordered  by Rwanda to the north, 
Tanzania to the east and south, and the Democratic Republic of the Congo to the west. 
Capital: Bujumbura
Dialing code: +257
President: Pierre Nkurunziza
Population: 10.16 million (2013) World Bank
Currency: Burundian franc
GDP per capita: 267.11 USD (2013) World Bank
Official languages: French, Kirundi"
Afghanistan,"AFGHANISTANAfghanistan /æfˈɡænᵻstæn/, officially the Islamic Republic of Afghanistan, is a Nation state located within Greater Middle East . It has a population of 
approximately 32 million, making it the 42nd most populous country in the world. 
Capital: Kabul
Currency: Afghan afghani
President: Ashraf Ghani
Population: 30.55 million (2013) World Bank
Official languages: Pashto, Dari"
Albania,"ALBANIAAlbania, on Southeastern Europe’s Balkan Peninsula, is a small country with Adriatic and Ionian coastlines and an interior crossed by the Albanian Alps. 
The country has many castles and archaeological sites. Capital Tirana centers on sprawling Skanderbeg Square, site of the Natio nal History Museum, 
with exhibits spanning antiquity to post-communism, and frescoed Et’hem Bey Mosque.
Capital: Tirana
Dialing code: +355
Currency: Albanian lek
Population: 2.774 million (2013) World Bank
President: Bujar Nishani"
